,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
,,累计确诊,新增确诊,现有确诊,现有疑似,新增疑似,累计治愈,新增治愈,累计死亡,新增死亡,隔离治疗,重症,危重症,累计追踪密切接触者,当日解除医学观察,正在接受医学观察,,,,,,,,,
2020.1.22,安徽,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,福建,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,江西,3,1,3,,,0,0,0,0,,2,0,177,14,163,,,,,,,,,
2020.1.22,山东,6,5,6,0,0,0,0,0,0,0,0,0,87,0,87,,,,,,,,,
2020.1.22,河南,5,4,5,0,0,0,0,0,0,,0,0,,,,,,,,,,,,
2020.1.22,湖北,444,69,399,,,28,0,17,8,399,71,24,2556,863,1693,,,,,,,,,
2020.1.22,湖南,24,15,24,,,0,0,,0,,6,,459,4,455,,,,,,,,,
2020.1.22,广东,32,15,32,1,1,,,,,,12,3,212,,212,,,,,,,,,
2020.1.22,广西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,海南,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,重庆(2020/1/22 12—24时),9,3,9,,,0,0,0,0,,3,0,94,0,94,,,,,,,,,
2020.1.22,四川,8,6,8,,,,,,,8,,,,,,,,,,,,,,
2020.1.22,贵州,1,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,
2020.1.22,云南,1,,1,,,,,,,,,,,,,,,,,,,,,
2020.1.22,西藏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,陕西,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,甘肃,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,青海,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,宁夏,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.22,新疆,,,,,,,,,,,,,,,,,,,,,,,,
2020.1.23,全国,830,259,771,1072,680,34,6,25,8,,177,,9507,1087,8420,,,,,,,,,
2020.1.23,北京,26,12,26,,,0,0,,,,,,,,,,,,,,,,,
2020.1.23,天津,5,1,5,,,0,0,0,0,,,,,,,,,,,,,,,
2020.1.23,河北,2,1,1,0,0,0,0,1,1,0,0,0,82,0,82,,,,,,,,,
2020.1.23,山西,1,0,1,,,,,0,,,,,6,,,,,,,,,,,
2020.1.23,内蒙古,,,,,,,,,,,,,,,,,,,,,,,,
